PRESS O O2 H2O OH CO CH4 CH3 C2H6 NO NO2 H2S SO SO2 OCS O3 N2O
9.705E-01 1.627E-17 2.100E-01 1.274E-02 9.568E-14 1.594E-08 9.669E-07 1.849E-21 6.782E-27 2.129E-12 3.103E-12 3.114E-12 7.571E-20 4.421E-12 1.307E-22 5.763E-09 2.489E-07
9.144E-01 1.893E-17 2.100E-01 1.087E-02 1.026E-13 1.588E-08 9.646E-07 1.863E-21 6.802E-27 2.313E-12 3.173E-12 1.888E-12 7.058E-20 6.585E-12 1.307E-22 6.118E-09 2.489E-07
8.611E-01 2.246E-17 2.100E-01 9.055E-03 1.108E-13 1.578E-08 9.625E-07 1.885E-21 6.846E-27 2.579E-12 3.340E-12 1.137E-12 5.549E-20 8.044E-12 1.306E-22 6.628E-09 2.489E-07
8.104E-01 2.700E-17 2.100E-01 7.566E-03 1.211E-13 1.562E-08 9.605E-07 1.923E-21 6.914E-27 2.915E-12 3.587E-12 6.785E-13 4.130E-20 9.102E-12 1.304E-22 7.288E-09 2.489E-07
7.623E-01 3.275E-17 2.100E-01 6.207E-03 1.319E-13 1.542E-08 9.587E-07 1.949E-21 7.010E-27 3.333E-12 3.906E-12 4.019E-13 2.976E-20 9.941E-12 1.303E-22 8.093E-09 2.489E-07
7.166E-01 3.990E-17 2.100E-01 5.035E-03 1.435E-13 1.517E-08 9.571E-07 1.964E-21 7.136E-27 3.851E-12 4.293E-12 2.364E-13 2.110E-20 1.066E-11 1.302E-22 9.038E-09 2.488E-07
6.731E-01 4.870E-17 2.100E-01 3.954E-03 1.540E-13 1.489E-08 9.556E-07 1.950E-21 7.296E-27 4.500E-12 4.754E-12 1.386E-13 1.464E-20 1.132E-11 1.301E-22 1.011E-08 2.488E-07
6.319E-01 5.938E-17 2.100E-01 3.090E-03 1.651E-13 1.458E-08 9.543E-07 1.932E-21 7.495E-27 5.300E-12 5.290E-12 8.101E-14 1.011E-20 1.198E-11 1.300E-22 1.131E-08 2.488E-07
5.928E-01 7.200E-17 2.100E-01 2.369E-03 1.757E-13 1.424E-08 9.532E-07 1.888E-21 7.740E-27 6.284E-12 5.881E-12 4.734E-14 6.963E-21 1.265E-11 1.299E-22 1.260E-08 2.488E-07
5.557E-01 8.664E-17 2.100E-01 1.775E-03 1.852E-13 1.388E-08 9.522E-07 1.813E-21 8.036E-27 7.466E-12 6.489E-12 2.773E-14 4.801E-21 1.337E-11 1.299E-22 1.396E-08 2.488E-07
5.205E-01 1.033E-16 2.100E-01 1.294E-03 1.924E-13 1.351E-08 9.514E-07 1.699E-21 8.391E-27 8.820E-12 7.039E-12 1.636E-14 3.319E-21 1.416E-11 1.298E-22 1.538E-08 2.487E-07
4.871E-01 1.219E-16 2.100E-01 9.170E-04 1.964E-13 1.314E-08 9.506E-07 1.549E-21 8.813E-27 1.028E-11 7.443E-12 9.771E-15 2.305E-21 1.503E-11 1.297E-22 1.684E-08 2.487E-07
4.554E-01 1.424E-16 2.100E-01 6.303E-04 1.964E-13 1.277E-08 9.500E-07 1.369E-21 9.308E-27 1.179E-11 7.652E-12 5.930E-15 1.612E-21 1.599E-11 1.297E-22 1.830E-08 2.487E-07
4.253E-01 1.649E-16 2.100E-01 4.194E-04 1.937E-13 1.241E-08 9.495E-07 1.180E-21 9.884E-27 1.356E-11 7.786E-12 3.664E-15 1.146E-21 1.703E-11 1.296E-22 1.977E-08 2.487E-07
3.967E-01 1.893E-16 2.100E-01 2.698E-04 1.911E-13 1.206E-08 9.491E-07 1.006E-21 1.054E-26 1.607E-11 8.057E-12 2.304E-15 8.408E-22 1.815E-11 1.295E-22 2.123E-08 2.486E-07
3.696E-01 2.157E-16 2.100E-01 1.678E-04 1.902E-13 1.174E-08 9.488E-07 8.544E-22 1.129E-26 1.980E-11 8.558E-12 1.472E-15 6.409E-22 1.932E-11 1.295E-22 2.268E-08 2.486E-07
3.439E-01 2.441E-16 2.100E-01 1.008E-04 1.905E-13 1.143E-08 9.485E-07 7.219E-22 1.214E-26 2.499E-11 9.213E-12 9.571E-16 5.068E-22 2.055E-11 1.294E-22 2.410E-08 2.486E-07
3.195E-01 2.747E-16 2.100E-01 5.854E-05 1.901E-13 1.116E-08 9.482E-07 6.010E-22 1.308E-26 3.161E-11 9.853E-12 6.355E-16 4.143E-22 2.184E-11 1.294E-22 2.550E-08 2.485E-07
2.964E-01 3.075E-16 2.100E-01 3.286E-05 1.876E-13 1.092E-08 9.480E-07 4.898E-22 1.412E-26 3.942E-11 1.031E-11 4.349E-16 3.508E-22 2.319E-11 1.294E-22 2.687E-08 2.485E-07
2.745E-01 3.437E-16 2.100E-01 1.786E-05 1.824E-13 1.070E-08 9.478E-07 3.892E-22 1.531E-26 4.826E-11 1.053E-11 3.062E-16 3.065E-22 2.465E-11 1.293E-22 2.827E-08 2.485E-07
2.538E-01 3.852E-16 2.100E-01 9.400E-06 1.738E-13 1.050E-08 9.476E-07 2.999E-22 1.676E-26 5.819E-11 1.055E-11 2.202E-16 2.741E-22 2.634E-11 1.292E-22 2.982E-08 2.484E-07
2.342E-01 4.360E-16 2.100E-01 5.083E-06 1.609E-13 1.030E-08 9.473E-07 2.225E-22 1.875E-26 6.964E-11 1.051E-11 1.592E-16 2.482E-22 2.848E-11 1.292E-22 3.176E-08 2.484E-07
2.158E-01 5.286E-16 2.100E-01 3.311E-06 1.429E-13 1.005E-08 9.470E-07 1.713E-22 2.228E-26 8.432E-11 1.135E-11 1.082E-16 2.012E-22 3.194E-11 1.291E-22 3.495E-08 2.483E-07
1.987E-01 7.121E-16 2.100E-01 2.295E-06 1.196E-13 9.725E-09 9.463E-07 1.394E-22 2.909E-26 1.054E-10 1.423E-11 6.633E-17 1.546E-22 3.781E-11 1.289E-22 4.074E-08 2.481E-07
1.829E-01 9.990E-16 2.100E-01 1.950E-06 9.769E-14 9.404E-09 9.455E-07 1.144E-22 3.905E-26 1.308E-10 1.870E-11 4.059E-17 1.605E-22 4.510E-11 1.286E-22 4.883E-08 2.478E-07
1.683E-01 1.431E-15 2.100E-01 1.871E-06 7.970E-14 9.100E-09 9.443E-07 9.467E-23 5.280E-26 1.615E-10 2.515E-11 2.555E-17 2.366E-22 5.330E-11 1.282E-22 5.960E-08 2.474E-07
1.548E-01 2.161E-15 2.100E-01 1.875E-06 6.408E-14 8.759E-09 9.425E-07 7.841E-23 7.485E-26 2.050E-10 3.682E-11 1.554E-17 4.480E-22 6.349E-11 1.275E-22 7.638E-08 2.468E-07
1.424E-01 3.405E-15 2.100E-01 1.880E-06 5.344E-14 8.374E-09 9.399E-07 6.853E-23 1.090E-25 2.644E-10 5.738E-11 8.957E-18 9.601E-22 7.513E-11 1.266E-22 1.018E-07 2.459E-07
1.310E-01 5.315E-15 2.100E-01 1.886E-06 4.905E-14 7.997E-09 9.366E-07 6.689E-23 1.532E-25 3.326E-10 8.666E-11 5.101E-18 2.091E-21 8.586E-11 1.254E-22 1.340E-07 2.447E-07
1.205E-01 8.109E-15 2.100E-01 1.894E-06 4.840E-14 7.645E-09 9.327E-07 7.085E-23 2.064E-25 4.058E-10 1.243E-10 2.909E-18 4.464E-21 9.481E-11 1.239E-22 1.721E-07 2.434E-07
1.109E-01 1.225E-14 2.100E-01 1.903E-06 4.961E-14 7.306E-09 9.279E-07 7.871E-23 2.725E-25 4.863E-10 1.738E-10 1.619E-18 9.235E-21 1.021E-10 1.222E-22 2.184E-07 2.417E-07
1.020E-01 1.827E-14 2.100E-01 1.914E-06 5.231E-14 6.985E-09 9.224E-07 9.060E-23 3.527E-25 5.727E-10 2.360E-10 8.782E-19 1.829E-20 1.074E-10 1.201E-22 2.736E-07 2.397E-07
9.390E-02 2.691E-14 2.100E-01 1.927E-06 5.639E-14 6.688E-09 9.159E-07 1.071E-22 4.482E-25 6.637E-10 3.118E-10 4.638E-19 3.445E-20 1.102E-10 1.177E-22 3.379E-07 2.373E-07
8.641E-02 3.903E-14 2.100E-01 1.941E-06 6.191E-14 6.423E-09 9.086E-07 1.292E-22 5.591E-25 7.573E-10 3.999E-10 2.393E-19 6.146E-20 1.100E-10 1.150E-22 4.111E-07 2.347E-07
7.954E-02 5.573E-14 2.100E-01 1.957E-06 6.901E-14 6.192E-09 9.007E-07 1.582E-22 6.848E-25 8.516E-10 4.981E-10 1.215E-19 1.035E-19 1.064E-10 1.120E-22 4.921E-07 2.317E-07
7.322E-02 7.848E-14 2.100E-01 1.974E-06 7.789E-14 5.998E-09 8.922E-07 1.957E-22 8.257E-25 9.460E-10 6.051E-10 6.081E-20 1.637E-19 9.916E-11 1.087E-22 5.811E-07 2.285E-07
6.741E-02 1.094E-13 2.100E-01 1.992E-06 8.875E-14 5.835E-09 8.829E-07 2.441E-22 9.845E-25 1.040E-09 7.209E-10 2.982E-20 2.411E-19 8.817E-11 1.052E-22 6.791E-07 2.251E-07
6.207E-02 1.511E-13 2.100E-01 2.012E-06 1.020E-13 5.704E-09 8.731E-07 3.063E-22 1.162E-24 1.133E-09 8.440E-10 1.434E-20 3.267E-19 7.374E-11 1.014E-22 7.864E-07 2.214E-07
5.717E-02 2.071E-13 2.100E-01 2.033E-06 1.182E-13 5.603E-09 8.627E-07 3.866E-22 1.359E-24 1.224E-09 9.725E-10 6.767E-21 4.003E-19 5.699E-11 9.744E-23 9.029E-07 2.175E-07
5.266E-02 2.815E-13 2.100E-01 2.054E-06 1.379E-13 5.530E-09 8.520E-07 4.901E-22 1.574E-24 1.311E-09 1.104E-09 3.144E-21 4.382E-19 4.013E-11 9.332E-23 1.028E-06 2.134E-07
4.851E-02 3.797E-13 2.100E-01 2.076E-06 1.620E-13 5.482E-09 8.410E-07 6.240E-22 1.807E-24 1.394E-09 1.235E-09 1.447E-21 4.479E-19 2.687E-11 8.913E-23 1.162E-06 2.092E-07
4.470E-02 5.093E-13 2.100E-01 2.098E-06 1.915E-13 5.455E-09 8.299E-07 7.976E-22 2.061E-24 1.472E-09 1.366E-09 6.594E-22 4.579E-19 1.830E-11 8.487E-23 1.304E-06 2.049E-07
4.120E-02 6.808E-13 2.100E-01 2.121E-06 2.275E-13 5.447E-09 8.186E-07 1.024E-21 2.339E-24 1.546E-09 1.498E-09 2.951E-22 4.666E-19 1.262E-11 8.053E-23 1.458E-06 2.005E-07
3.799E-02 9.074E-13 2.100E-01 2.145E-06 2.715E-13 5.456E-09 8.070E-07 1.319E-21 2.646E-24 1.615E-09 1.632E-09 1.296E-22 4.744E-19 8.810E-12 7.613E-23 1.624E-06 1.959E-07
3.503E-02 1.205E-12 2.100E-01 2.168E-06 3.253E-13 5.478E-09 7.954E-07 1.705E-21 2.982E-24 1.681E-09 1.766E-09 5.602E-23 4.825E-19 6.230E-12 7.172E-23 1.803E-06 1.913E-07
3.231E-02 1.597E-12 2.100E-01 2.192E-06 3.913E-13 5.512E-09 7.836E-07 2.211E-21 3.353E-24 1.745E-09 1.902E-09 2.378E-23 4.912E-19 4.458E-12 6.732E-23 1.995E-06 1.867E-07
2.981E-02 2.111E-12 2.100E-01 2.216E-06 4.719E-13 5.557E-09 7.718E-07 2.874E-21 3.764E-24 1.808E-09 2.041E-09 9.892E-24 5.004E-19 3.224E-12 6.295E-23 2.202E-06 1.820E-07
2.751E-02 2.783E-12 2.100E-01 2.240E-06 5.702E-13 5.612E-09 7.599E-07 3.742E-21 4.222E-24 1.872E-09 2.185E-09 4.024E-24 5.099E-19 2.354E-12 5.860E-23 2.424E-06 1.772E-07
2.539E-02 3.663E-12 2.100E-01 2.265E-06 6.901E-13 5.674E-09 7.479E-07 4.882E-21 4.737E-24 1.940E-09 2.335E-09 1.598E-24 5.195E-19 1.733E-12 5.431E-23 2.662E-06 1.723E-07
2.345E-02 4.809E-12 2.100E-01 2.290E-06 8.359E-13 5.745E-09 7.358E-07 6.377E-21 5.318E-24 2.012E-09 2.494E-09 6.185E-25 5.293E-19 1.286E-12 5.009E-23 2.916E-06 1.674E-07
2.166E-02 6.299E-12 2.100E-01 2.315E-06 1.013E-12 5.822E-09 7.237E-07 8.339E-21 5.977E-24 2.092E-09 2.664E-09 2.328E-25 5.389E-19 9.613E-13 4.596E-23 3.185E-06 1.624E-07
2.001E-02 8.230E-12 2.100E-01 2.340E-06 1.228E-12 5.907E-09 7.115E-07 1.091E-20 6.733E-24 2.182E-09 2.847E-09 8.503E-26 5.479E-19 7.231E-13 4.193E-23 3.469E-06 1.574E-07
1.849E-02 1.073E-11 2.100E-01 2.365E-06 1.488E-12 5.999E-09 6.991E-07 1.429E-20 7.606E-24 2.284E-09 3.046E-09 3.001E-26 5.551E-19 5.468E-13 3.800E-23 3.766E-06 1.523E-07
1.710E-02 1.395E-11 2.100E-01 2.391E-06 1.800E-12 6.099E-09 6.866E-07 1.873E-20 8.623E-24 2.400E-09 3.263E-09 1.021E-26 5.603E-19 4.154E-13 3.420E-23 4.076E-06 1.471E-07
1.581E-02 1.809E-11 2.100E-01 2.417E-06 2.175E-12 6.207E-09 6.740E-07 2.454E-20 9.811E-24 2.532E-09 3.496E-09 3.347E-27 5.634E-19 3.172E-13 3.055E-23 4.393E-06 1.419E-07
1.463E-02 2.337E-11 2.100E-01 2.444E-06 2.621E-12 6.323E-09 6.613E-07 3.214E-20 1.120E-23 2.681E-09 3.747E-09 1.057E-27 5.646E-19 2.436E-13 2.709E-23 4.714E-06 1.366E-07
1.353E-02 3.008E-11 2.100E-01 2.470E-06 3.151E-12 6.448E-09 6.487E-07 4.207E-20 1.283E-23 2.846E-09 4.010E-09 3.230E-28 5.645E-19 1.885E-13 2.384E-23 5.032E-06 1.313E-07
1.253E-02 3.858E-11 2.100E-01 2.497E-06 3.775E-12 6.581E-09 6.359E-07 5.499E-20 1.477E-23 3.030E-09 4.284E-09 9.514E-29 5.627E-19 1.469E-13 2.081E-23 5.346E-06 1.260E-07
1.160E-02 4.933E-11 2.100E-01 2.524E-06 4.501E-12 6.728E-09 6.230E-07 7.173E-20 1.711E-23 3.231E-09 4.568E-09 2.676E-29 5.576E-19 1.149E-13 1.796E-23 5.655E-06 1.206E-07
1.075E-02 6.289E-11 2.100E-01 2.552E-06 5.342E-12 6.887E-09 6.098E-07 9.342E-20 1.995E-23 3.448E-09 4.857E-09 7.191E-30 5.488E-19 9.027E-14 1.533E-23 5.955E-06 1.152E-07
9.962E-03 7.989E-11 2.100E-01 2.580E-06 6.306E-12 7.059E-09 5.965E-07 1.213E-19 2.339E-23 3.678E-09 5.139E-09 1.861E-30 5.384E-19 7.136E-14 1.293E-23 6.240E-06 1.097E-07
9.237E-03 1.011E-10 2.100E-01 2.608E-06 7.403E-12 7.244E-09 5.831E-07 1.569E-19 2.753E-23 3.920E-09 5.406E-09 4.704E-31 5.272E-19 5.685E-14 1.079E-23 6.508E-06 1.043E-07
8.568E-03 1.276E-10 2.100E-01 2.637E-06 8.644E-12 7.440E-09 5.698E-07 2.024E-19 3.254E-23 4.168E-09 5.648E-09 1.214E-31 5.158E-19 4.570E-14 8.902E-24 6.757E-06 9.895E-08
7.951E-03 1.604E-10 2.100E-01 2.665E-06 1.004E-11 7.648E-09 5.565E-07 2.600E-19 3.861E-23 4.419E-09 5.858E-09 3.620E-32 5.047E-19 3.707E-14 7.261E-24 6.989E-06 9.369E-08
7.381E-03 2.012E-10 2.100E-01 2.693E-06 1.159E-11 7.870E-09 5.432E-07 3.326E-19 4.607E-23 4.669E-09 6.031E-09 1.572E-32 4.930E-19 3.028E-14 5.841E-24 7.205E-06 8.848E-08
6.855E-03 2.519E-10 2.100E-01 2.722E-06 1.332E-11 8.104E-09 5.297E-07 4.239E-19 5.524E-23 4.915E-09 6.160E-09 1.072E-32 4.810E-19 2.490E-14 4.628E-24 7.408E-06 8.333E-08
6.370E-03 3.146E-10 2.100E-01 2.751E-06 1.525E-11 8.350E-09 5.161E-07 5.380E-19 6.650E-23 5.153E-09 6.241E-09 9.389E-33 4.691E-19 2.063E-14 3.613E-24 7.598E-06 7.829E-08
5.921E-03 3.923E-10 2.100E-01 2.780E-06 1.740E-11 8.605E-09 5.026E-07 6.805E-19 8.030E-23 5.379E-09 6.270E-09 9.004E-33 4.577E-19 1.722E-14 2.777E-24 7.777E-06 7.338E-08
5.507E-03 4.884E-10 2.100E-01 2.808E-06 1.980E-11 8.867E-09 4.892E-07 8.581E-19 9.715E-23 5.591E-09 6.248E-09 8.980E-33 4.471E-19 1.448E-14 2.103E-24 7.948E-06 6.863E-08
5.123E-03 6.074E-10 2.100E-01 2.837E-06 2.250E-11 9.133E-09 4.759E-07 1.079E-18 1.178E-22 5.788E-09 6.174E-09 9.190E-33 4.372E-19 1.227E-14 1.568E-24 8.111E-06 6.406E-08
4.768E-03 7.545E-10 2.100E-01 2.865E-06 2.555E-11 9.402E-09 4.626E-07 1.354E-18 1.430E-22 5.968E-09 6.052E-09 9.596E-33 4.278E-19 1.046E-14 1.149E-24 8.269E-06 5.965E-08
4.440E-03 9.368E-10 2.100E-01 2.893E-06 2.901E-11 9.670E-09 4.495E-07 1.696E-18 1.739E-22 6.132E-09 5.886E-09 1.019E-32 4.190E-19 8.976E-15 8.272E-25 8.422E-06 5.545E-08
4.136E-03 1.162E-09 2.100E-01 2.920E-06 3.297E-11 9.934E-09 4.367E-07 2.120E-18 2.111E-22 6.281E-09 5.678E-09 1.095E-32 4.118E-19 7.761E-15 5.872E-25 8.569E-06 5.149E-08
3.854E-03 1.440E-09 2.100E-01 2.947E-06 3.750E-11 1.019E-08 4.242E-07 2.649E-18 2.561E-22 6.416E-09 5.435E-09 1.188E-32 4.056E-19 6.758E-15 4.109E-25 8.709E-06 4.778E-08
