PRESS N2 O2 O3 H2O CH4 N2O CO2 CO
0.9774 0.88160779794311 1E-13 2.753E-17 0.01839 2.202E-06 5.679E-11 0.1 4.079E-20
0.9343 0.883427977624872 1.688E-12 9.115E-17 0.01657 1.963E-06 2.344E-11 0.1 5.935E-08
0.8929 0.885008063209267 2.577E-12 1.423E-16 0.01499 1.853E-06 8.156E-12 0.1 8.378E-08
0.8532 0.886668100104579 2.999E-12 1.702E-16 0.01333 1.81E-06 2.422E-12 0.1 8.989E-08
0.8149 0.888078116366198 3.178E-12 1.825E-16 0.01192 1.795E-06 6.237E-13 0.1 8.863E-08
0.7782 0.889328125886601 3.258E-12 1.871E-16 0.01067 1.789E-06 1.412E-13 0.1 8.511E-08
0.7429 0.89062213282666 3.311E-12 1.874E-16 0.009376 1.786E-06 2.848E-14 0.1 8.117E-08
0.709 0.891702138646631 3.364E-12 1.842E-16 0.008296 1.784E-06 5.174E-15 0.1 7.735E-08
0.6765 0.892682143216569 3.43E-12 1.789E-16 0.007316 1.783E-06 8.552E-16 0.1 7.378E-08
0.6452 0.893640148506501 3.499E-12 1.737E-16 0.006358 1.781E-06 1.297E-16 0.1 7.049E-08
0.6152 0.894479152526486 3.514E-12 1.689E-16 0.005519 1.78E-06 1.816E-17 0.1 6.747E-08
0.5864 0.895239156296682 3.318E-12 1.55E-16 0.004759 1.779E-06 2.366E-18 0.1 6.47E-08
0.5587 0.899519759827408 2.592E-12 9.28E-17 0.0004784 1.778E-06 2.881E-19 0.1 6.217E-08
0.5322 0.899677063127724 2.276E-12 8.56E-17 0.0003211 1.777E-06 3.3E-20 0.1 5.987E-08
0.5067 0.899774666227908 2.092E-12 9.174E-17 0.0002235 1.776E-06 3.609E-21 0.1 5.777E-08
0.4823 0.899839969138105 1.895E-12 9.911E-17 0.0001582 1.775E-06 4.164E-22 0.1 5.586E-08
0.4589 0.899885770888342 1.658E-12 1.02E-16 0.0001124 1.775E-06 8.584E-23 0.1 5.411E-08
0.4364 0.899918513478583 1.417E-12 9.896E-17 7.966E-05 1.774E-06 4.908E-23 0.1 5.252E-08
0.4148 0.899941795908788 1.212E-12 9.226E-17 5.638E-05 1.773E-06 4.02E-23 0.1 5.109E-08
0.3942 0.899958478238946 1.054E-12 8.481E-17 3.97E-05 1.772E-06 3.405E-23 0.1 4.976E-08
0.3743 0.899970549549059 9.409E-13 7.83E-17 2.763E-05 1.772E-06 2.88E-23 0.1 4.845E-08
0.3553 0.899979301959137 8.627E-13 7.334E-17 1.888E-05 1.771E-06 2.445E-23 0.1 4.704E-08
0.337 0.899985865909187 8.132E-13 6.988E-17 1.232E-05 1.769E-06 2.067E-23 0.1 4.509E-08
0.3195 0.899989030739163 8.372E-13 7.139E-17 9.16E-06 1.767E-06 1.812E-23 0.1 4.226E-08
0.3026 0.899989771819056 9.435E-13 7.624E-17 8.426E-06 1.763E-06 1.712E-23 0.1 3.918E-08
0.2865 0.899989730928894 1.106E-12 8.159E-17 8.474E-06 1.759E-06 1.672E-23 0.1 3.607E-08
0.271 0.899989548478658 1.342E-12 8.715E-17 8.667E-06 1.752E-06 1.651E-23 0.1 3.252E-08
0.2561 0.899989340328293 1.707E-12 9.584E-17 8.888E-06 1.743E-06 1.684E-23 0.1 2.867E-08
0.2419 0.89998912080775 2.25E-12 1.111E-16 9.123E-06 1.731E-06 1.813E-23 0.1 2.519E-08
0.2282 0.899988887746982 3.018E-12 1.341E-16 9.373E-06 1.717E-06 2.038E-23 0.1 2.225E-08
0.2151 0.899988639315888 4.112E-12 1.668E-16 9.639E-06 1.702E-06 2.37E-23 0.1 1.968E-08
0.2026 0.899988424524387 5.613E-12 2.112E-16 9.875E-06 1.683E-06 2.814E-23 0.1 1.747E-08
0.1907 0.8999883983824 7.6E-12 2.687E-16 9.923E-06 1.663E-06 3.372E-23 0.1 1.561E-08
0.1795 0.89998837791988 1.012E-11 3.402E-16 9.968E-06 1.64E-06 4.036E-23 0.1 1.407E-08
0.1688 0.899988351166789 1.321E-11 4.26E-16 1.002E-05 1.616E-06 4.791E-23 0.1 1.282E-08
0.1588 0.899988328153079 1.692E-11 5.27E-16 1.007E-05 1.59E-06 5.639E-23 0.1 1.183E-08
0.1493 0.899988305948659 2.134E-11 6.453E-16 1.012E-05 1.563E-06 6.633E-23 0.1 1.103E-08
0.1403 0.899988274583469 2.653E-11 7.825E-16 1.018E-05 1.535E-06 7.986E-23 0.1 1.039E-08
0.1319 0.899988245075449 3.255E-11 9.398E-16 1.024E-05 1.505E-06 1.06E-22 0.1 9.892E-09
0.1239 0.899988215449559 3.944E-11 1.119E-15 1.03E-05 1.475E-06 1.797E-22 0.1 9.511E-09
0.1164 0.899988185725719 4.728E-11 1.324E-15 1.036E-05 1.445E-06 4.233E-22 0.1 9.227E-09
0.1094 0.899988146921488 5.651E-11 1.569E-15 1.043E-05 1.414E-06 1.23E-21 0.1 9.022E-09
0.1027 0.899988117056938 6.706E-11 1.852E-15 1.049E-05 1.384E-06 3.774E-21 0.1 8.876E-09
0.09635 0.899988088146038 7.896E-11 2.169E-15 1.055E-05 1.353E-06 1.132E-20 0.1 8.775E-09
0.09039 0.899988048197817 9.218E-11 2.52E-15 1.062E-05 1.323E-06 3.238E-20 0.1 8.71E-09
0.08478 0.899988019222197 1.068E-10 2.904E-15 1.068E-05 1.292E-06 8.772E-20 0.1 8.671E-09
0.07948 0.899987989226297 1.227E-10 3.32E-15 1.074E-05 1.262E-06 2.253E-19 0.1 8.651E-09
0.07448 0.899987959213996 1.4E-10 3.765E-15 1.08E-05 1.232E-06 5.496E-19 0.1 8.646E-09
0.06978 0.899987919190296 1.587E-10 4.237E-15 1.087E-05 1.202E-06 1.277E-18 0.1 8.651E-09
0.06535 0.899987888158395 1.786E-10 4.732E-15 1.093E-05 1.173E-06 2.836E-18 0.1 8.663E-09
0.06119 0.899987858120495 1.995E-10 5.244E-15 1.099E-05 1.143E-06 6.027E-18 0.1 8.68E-09
0.05728 0.899987827077494 2.215E-10 5.769E-15 1.105E-05 1.114E-06 1.229E-17 0.1 8.701E-09
0.05361 0.899987796032694 2.443E-10 6.303E-15 1.111E-05 1.085E-06 2.41E-17 0.1 8.723E-09
0.05015 0.899987755985393 2.676E-10 6.841E-15 1.118E-05 1.055E-06 4.553E-17 0.1 8.747E-09
0.04691 0.899987724938593 2.914E-10 7.38E-15 1.124E-05 1.026E-06 8.294E-17 0.1 8.77E-09
0.04387 0.899987693191692 3.153E-10 7.918E-15 1.13E-05 9.977E-07 1.459E-16 0.1 8.793E-09
0.04101 0.899987661544891 3.391E-10 8.454E-15 1.136E-05 9.693E-07 2.48E-16 0.1 8.816E-09
0.03834 0.899987629698291 3.627E-10 8.997E-15 1.142E-05 9.411E-07 4.08E-16 0.1 8.839E-09
0.03582 0.89998759805169 3.863E-10 9.556E-15 1.148E-05 9.127E-07 6.509E-16 0.1 8.862E-09
0.03347 0.899987566505089 4.099E-10 1.014E-14 1.154E-05 8.842E-07 1.008E-15 0.1 8.885E-09
0.03126 0.899987534754288 4.337E-10 1.077E-14 1.16E-05 8.559E-07 1.515E-15 0.1 8.912E-09
0.02919 0.899987502799186 4.578E-10 1.146E-14 1.166E-05 8.278E-07 2.215E-15 0.1 8.943E-09
0.02726 0.899987470334185 4.828E-10 1.224E-14 1.172E-05 8.002E-07 3.151E-15 0.1 8.983E-09
0.02545 0.899987437455983 5.09E-10 1.313E-14 1.178E-05 7.73E-07 4.365E-15 0.1 9.035E-09
0.02376 0.89998740445638 5.376E-10 1.418E-14 1.184E-05 7.459E-07 5.89E-15 0.1 9.106E-09
0.02217 0.899987371428477 5.705E-10 1.543E-14 1.19E-05 7.188E-07 7.7E-15 0.1 9.201E-09
0.02069 0.899987338175073 6.079E-10 1.694E-14 1.196E-05 6.919E-07 9.771E-15 0.1 9.317E-09
0.01931 0.899987304601369 6.506E-10 1.877E-14 1.202E-05 6.653E-07 1.206E-14 0.1 9.448E-09
