PRESS N2 O2 O3 H2O CH4 N2O CO2 CO
0.9772 0.740391621999 0.21 3.901E-09 0.01355 2.378E-05 3.741E-07 3.60E-02 3.422E-05
0.9336 0.741911631815 0.21 4.085E-09 0.01203 2.378E-05 3.741E-07 3.60E-02 3.421E-05
0.8918 0.743251641598 0.21 4.302E-09 0.01069 2.377E-05 3.741E-07 3.60E-02 3.421E-05
0.8516 0.74455265136 0.21 4.54E-09 0.009389 2.377E-05 3.741E-07 3.60E-02 3.42E-05
0.8129 0.745729651109 0.21 4.791E-09 0.008212 2.377E-05 3.741E-07 3.60E-02 3.42E-05
0.7757 0.746781650855 0.21 5.045E-09 0.00716 2.377E-05 3.741E-07 3.60E-02 3.42E-05
0.74 0.747735670704 0.21 5.296E-09 0.006206 2.376E-05 3.74E-07 3.60E-02 3.419E-05
0.7057 0.748617670462 0.21 5.538E-09 0.005324 2.376E-05 3.74E-07 3.60E-02 3.419E-05
0.6728 0.749446680233 0.21 5.767E-09 0.004495 2.376E-05 3.74E-07 3.60E-02 3.418E-05
0.6411 0.750161680019 0.21 5.981E-09 0.00378 2.376E-05 3.74E-07 3.60E-02 3.418E-05
0.6107 0.750779699816 0.21 6.184E-09 0.003162 2.375E-05 3.74E-07 3.60E-02 3.417E-05
0.5815 0.751327699619 0.21 6.381E-09 0.002614 2.375E-05 3.74E-07 3.60E-02 3.417E-05
0.5535 0.751810709419 0.21 6.581E-09 0.002131 2.375E-05 3.74E-07 3.60E-02 3.416E-05
0.5267 0.752218709304 0.21 6.796E-09 0.001723 2.375E-05 3.739E-07 3.60E-02 3.416E-05
0.5008 0.752577729065 0.21 7.035E-09 0.001364 2.374E-05 3.739E-07 3.60E-02 3.415E-05
0.4761 0.752874728793 0.21 7.307E-09 0.001067 2.374E-05 3.739E-07 3.60E-02 3.415E-05
0.4523 0.75311913848 0.21 7.62E-09 0.0008226 2.374E-05 3.739E-07 3.60E-02 3.414E-05
0.4294 0.753323538123 0.21 7.977E-09 0.0006182 2.374E-05 3.739E-07 3.60E-02 3.414E-05
0.4075 0.75348254772 0.21 8.38E-09 0.0004592 2.374E-05 3.739E-07 3.60E-02 3.413E-05
0.3864 0.753608757253 0.21 8.847E-09 0.000333 2.373E-05 3.739E-07 3.60E-02 3.413E-05
0.3662 0.753705166778 0.21 9.422E-09 0.0002366 2.373E-05 3.738E-07 3.60E-02 3.412E-05
0.3467 0.753775876 0.21 1.02E-08 0.0001659 2.373E-05 3.738E-07 3.60E-02 3.411E-05
0.3281 0.75392959462 0.21 1.158E-08 1.22E-05 2.372E-05 3.738E-07 3.60E-02 3.41E-05
0.3102 0.7539337041 0.21 1.42E-08 8.108E-06 2.372E-05 3.737E-07 3.60E-02 3.408E-05
0.293 0.75393488339 0.21 1.801E-08 6.975E-06 2.37E-05 3.736E-07 3.60E-02 3.405E-05
