# Optical Properties of organic hazes made under water-rich (1000x solar), 400 K exoplanet conditions
# Citation: He, C., Radke, M.J., Moran, S.E., Hörst, S.M., Lewis, N.K., Moses, J.I., Batalha, N.E., Kempton, E.M.-R., Marley, M.S., Morley, C.V., Valenti, J.A., Vuitton, V. Optical Properties of Organic Haze Analogues in Water-rich Exoplanet Atmospheres Observable with JWST, Nature Astronomy, resubmitted
#index wavelength(microns) n	k
1 4.00008000e-01 1.82655890e+00 2.63332600e-03
2 4.00015700e-01 1.82665210e+00 2.62660200e-03
3 4.00023400e-01 1.82672300e+00 2.60963700e-03
4 4.00031200e-01 1.82667480e+00 2.58482000e-03
5 4.00038900e-01 1.82650710e+00 2.56339000e-03
6 4.00046600e-01 1.82633330e+00 2.55461600e-03
7 4.00054300e-01 1.82627510e+00 2.56413800e-03
8 4.00062000e-01 1.82635130e+00 2.59130200e-03
9 4.00069700e-01 1.82647580e+00 2.62374500e-03
10 4.00077500e-01 1.82653670e+00 2.64817200e-03
11 4.00085200e-01 1.82649230e+00 2.66058200e-03
12 4.00092900e-01 1.82637800e+00 2.66474000e-03
13 4.00100600e-01 1.82624760e+00 2.67001400e-03
14 4.00108300e-01 1.82614470e+00 2.67935600e-03
15 4.00116100e-01 1.82607630e+00 2.68726700e-03
16 4.00123800e-01 1.82601960e+00 2.68870700e-03
17 4.00131500e-01 1.82597240e+00 2.68061700e-03
18 4.00139200e-01 1.82593390e+00 2.66764800e-03
19 4.00146900e-01 1.82590670e+00 2.65399000e-03
20 4.00154600e-01 1.82591100e+00 2.64255400e-03
21 4.00162400e-01 1.82593110e+00 2.63723800e-03
22 4.00170100e-01 1.82592110e+00 2.63831900e-03
23 4.00177800e-01 1.82583910e+00 2.64758500e-03
24 4.00185500e-01 1.82568200e+00 2.66161800e-03
25 4.00193300e-01 1.82548750e+00 2.67597200e-03
26 4.00201000e-01 1.82529530e+00 2.68727300e-03
27 4.00208700e-01 1.82512440e+00 2.68998400e-03
28 4.00216400e-01 1.82498190e+00 2.68032800e-03
29 4.00224100e-01 1.82487700e+00 2.65531900e-03
30 4.00231900e-01 1.82483590e+00 2.62022300e-03
31 4.00239600e-01 1.82488660e+00 2.58760300e-03
32 4.00247300e-01 1.82502780e+00 2.57517300e-03
33 4.00255000e-01 1.82523470e+00 2.59028600e-03
34 4.00262800e-01 1.82544250e+00 2.62359000e-03
35 4.00270500e-01 1.82556420e+00 2.66099000e-03
36 4.00278200e-01 1.82555010e+00 2.68424700e-03
37 4.00285900e-01 1.82541120e+00 2.69127400e-03
38 4.00293700e-01 1.82522120e+00 2.68595400e-03
39 4.00301400e-01 1.82508440e+00 2.67400400e-03
40 4.00309100e-01 1.82504620e+00 2.66103400e-03
41 4.00316800e-01 1.82507070e+00 2.64798800e-03
42 4.00324600e-01 1.82509880e+00 2.63793200e-03
43 4.00332300e-01 1.82508950e+00 2.63443700e-03
44 4.00340000e-01 1.82503440e+00 2.63588600e-03
45 4.00347700e-01 1.82493720e+00 2.63834100e-03
46 4.00355500e-01 1.82480690e+00 2.64162600e-03
