MgSiO3 - temp_cond=1316, molecular_weight=100.33
Wav (microns)	n	k
0.185	1.680	1.296E-04
0.190	1.674	8.580E-05
0.200	1.678	1.252E-04
0.210	1.669	1.725E-04
0.215	1.660	1.593E-04
0.220	1.670	1.554E-04
0.225	1.660	1.988E-04
0.233	1.662	2.130E-04
0.240	1.642	2.170E-04
0.260	1.626	2.820E-04
0.280	1.647	2.620E-04
0.300	1.657	2.280E-04
0.325	1.655	1.422E-04
0.355	1.646	6.920E-05
0.370	1.644	6.030E-05
0.400	1.631	4.430E-05
0.420	1.586	2.00E-05
0.450	1.583	2.00E-05
0.500	1.577	2.10E-05
0.550	1.576	2.20E-05
0.600	1.573	2.40E-05
0.650	1.569	2.60E-05
0.700	1.566	2.70E-05
0.750	1.567	2.90E-05
0.800	1.564	3.10E-05
0.900	1.562	3.40E-05
1.000	1.559	3.70E-05
1.100	1.555	3.90E-05
1.200	1.551	4.10E-05
1.300	1.546	4.30E-05
1.400	1.549	4.50E-05
1.500	1.540	4.60E-05
1.600	1.540	4.80E-05
1.700	1.539	4.90E-05
1.800	1.537	5.10E-05
1.900	1.531	5.30E-05
2.000	1.528	5.50E-05
2.200	1.533	5.80E-05
2.400	1.524	5.90E-05
2.600	1.524	6.20E-05
2.800	1.523	6.50E-05
3.000	1.518	6.90E-05
3.500	1.512	7.70E-05
4.000	1.508	9.80E-05
4.500	1.499	2.54E-04
5.000	1.483	1.72E-03
5.500	1.460	2.99E-03
6.000	1.427	3.06E-03
6.500	1.390	3.62E-03
7.000	1.347	4.68E-03
7.500	1.273	7.58E-03
8.000	1.126	8.00E-02
8.200	1.034	1.73E-01
8.400	0.964	2.82E-01
8.600	0.935	4.05E-01
8.800	0.927	5.37E-01
9.000	0.946	6.83E-01
9.200	1.021	8.38E-01
9.400	1.136	9.70E-01
9.600	1.292	1.06E+00
9.800	1.468	1.11E+00
10.000	1.639	1.09E+00
10.200	1.782	1.04E+00
10.400	1.902	9.63E-01
10.600	1.995	8.80E-01
10.800	2.076	7.82E-01
11.000	2.120	6.64E-01
11.200	2.144	5.51E-01
11.400	2.141	4.39E-01
11.600	2.115	3.26E-01
11.800	2.054	2.33E-01
12.000	1.967	1.73E-01
12.500	1.795	1.56E-01
13.000	1.709	1.80E-01
13.500	1.658	1.92E-01
14.000	1.600	2.02E-01
14.500	1.542	2.08E-01
15.000	1.464	2.27E-01
15.500	1.363	2.88E-01
16.000	1.276	4.01E-01
16.500	1.244	5.41E-01
17.000	1.263	6.87E-01
17.500	1.323	8.12E-01
18.000	1.410	9.13E-01
18.500	1.514	9.78E-01
19.000	1.616	1.01E+00
19.500	1.713	1.02E+00
20.000	1.794	1.02E+00
21.000	1.916	9.77E-01
22.000	1.993	9.35E-01
23.000	2.050	9.04E-01
24.000	2.095	8.84E-01
25.000	2.142	8.67E-01
26.000	2.182	8.47E-01
27.000	2.224	8.32E-01
28.000	2.263	8.13E-01
29.000	2.299	7.95E-01
30.000	2.333	7.74E-01
32.000	2.395	7.27E-01
34.000	2.444	6.73E-01
36.000	2.470	6.19E-01
38.000	2.494	5.72E-01
40.000	2.504	5.32E-01
45.000	2.517	4.63E-01
50.000	2.528	4.16E-01
55.000	2.542	3.77E-01
60.000	2.549	3.49E-01
65.000	2.558	3.17E-01
70.000	2.562	3.01E-01
75.000	2.572	2.82E-01
80.000	2.580	2.55E-01
