CH4 - temp_cond=80, molecular_weight=16.04
Wav (microns)	n	k
71.43 	1.274 	0.001e-3
41.67 	1.273 	1.353e-3
8.26 	1.272 	6.23e-3
8.13 	1.311 	1.00e-2
7.8 	1.305 	2.002e-2
7.69 	1.342 	7.499e-2
7.59 	1.258 	1.600e-1
3.57 	1.183 	7.249e-2
3.43 	1.284 	1.00e-2
3.37 	1.281	2.00e-2
3.33 	1.291 	4.00e-2
3.26 	1.227 	7.00e-3
1.953 	1.267 	3.00e-5
1.932 	1.267 	8.393e-7
1.241 	1.268 	1.476e-6
1.235 	1.268 	7.903e-8
1.014 	1.269 	1.573e-7
1.000 	1.269 	9.438e-7
0.9872 	1.269  	7.799e-7
0.9742 	1.269 	5.892e-7
0.8885 	1.269 	4.651e-7
0.8673 	1.270 	1.78e-6
0.8418 	1.270 	3.1e-7
0.7994 	1.270 	4.68e-8
0.7849 	1.270 	5.72e-8
0.7299 	1.271 	3.74e-8
0.7174 	1.271 	9.29e-8
0.7057 	1.271 	1.07e-7
0.6856 	1.271 	7.862e-9
0.6696 	1.272 	2.51e-9
0.6215 	1.272 	4.47e-9
0.5983 	1.273 	1.83e-7
0.5831 	1.273 	1.09e-9
0.4000 	1.273 	1.16e-9
0.1337 	1.281 	1.0e-7
0.1200 	1.660 	1.702e-1
0.1162 	1.456 	3.12e-1
0.1087 	1.442 	3.02e-1
0.1012 	1.476 	3.5e-1
0.1000 	1.417 	4.47e-1
0.0900 	1.420 	4.55e-1
0.0545 	1.196 	6.09e-1
0.0020 	0.865 	2.0e-1
