FeO - temp_cond=1650, molecular_weight=71.79
Wav (microns)	n	k
0.20555022	1.2150376	1.1744512
0.30510294	1.958038	1.1760844
0.40265563	2.158396	0.9809468
0.49842936	2.223559	0.92525446
0.6438952	2.3561761	0.7255221
0.7318318	2.3544576	0.6053527
0.8142191	2.3530254	0.5046487
0.9555339	2.4189043	0.50605315
1.0630811	2.349445	0.5073734
1.9950448	2.613104	0.575365
2.9605596	2.6078053	0.39923245
3.8654397	2.604225	0.24530306
5.1557283	2.600358	0.1922499
6.0504136	2.5982099	0.14196862
7.2533126	2.5277479	0.104856186
8.695363	2.4572861	0.118969634
9.882663	2.3875403	0.17241207
11.474045	2.249481	0.36103418
14.6628065	1.8380237	1.1609633
17.762892	1.1551737	2.5841334
21.06558	0.6766917	4.785054
25.258223	1.1504476	2.9329717
27.81539	2.4416757	1.5891659
29.66998	4.073469	1.1015369
33.747757	6.384676	0.81216896
38.348064	5.7026854	0.8147122
44.991577	4.9522376	1.112304
52.232944	4.6100965	1.6158875
66.043724	4.334837	1.9494848
91.92739	4.262370	2.209194
