SiO2 - temp_cond=1725, molecular_weight=60.08
Wav (microns)  n  k
   10000.0000000000        2.17259931228317       6.475359866683316E-005
   5000.00000000000        2.17260499686908       1.295106271920801E-004
   3333.33333333333        2.17261447150258       1.942745158931819E-004
   2500.00000000000        2.17262773666920       2.590486960057523E-004
   2000.00000000000        2.17264479304874       3.238366001429617E-004
   1666.66666666667        2.17266564151543       3.886416627552750E-004
   1428.57142857143        2.17269028313800       4.534673205906668E-004
   1250.00000000000        2.17271871917985       5.183170131554279E-004
   1111.11111111111        2.17275095109922       5.831941831756870E-004
   1000.00000000000        2.17278698054939       6.481022770597651E-004
   909.090909090909        2.17282680937892       7.130447453614831E-004
   833.333333333333        2.17287043963188       7.780250432445394E-004
   769.230769230769        2.17291787354817       8.430466309480892E-004
   714.285714285714        2.17296911356380       9.081129742536297E-004
   666.666666666667        2.17302416231126       9.732275449533308E-004
   625.000000000000        2.17308302261984       1.038393821319923E-003
   588.235294117647        2.17314569751606       1.103615288578266E-003
   555.555555555556        2.17321219022410       1.168895439378729E-003
   526.315789473684        2.17328250416621       1.234237774272499E-003
   500.000000000000        2.17335664296320       1.299645802188950E-003
   476.190476190476        2.17343461043499       1.365123040915189E-003
   454.545454545455        2.17351641060105       1.430673017577926E-003
   434.782608695652        2.17360204768106       1.496299269127766E-003
   416.666666666667        2.17369152609545       1.562005342826087E-003
   400.000000000000        2.17378485046600       1.627794796734601E-003
   384.615384615385        2.17388202561655       1.693671200207762E-003
   370.370370370370        2.17398305657360       1.759638134388122E-003
   357.142857142857        2.17408794856707       1.825699192704796E-003
   344.827586206897        2.17419670703103       1.891857981375154E-003
   333.333333333333        2.17430933760443       1.958118119909885E-003
   322.580645161290        2.17442584613193       2.024483241621565E-003
   312.500000000000        2.17454623866472       2.090956994136891E-003
   303.030303030303        2.17467052146133       2.157543039912672E-003
   294.117647058824        2.17479870098859       2.224245056755781E-003
   285.714285714286        2.17493078392248       2.291066738347173E-003
   277.777777777778        2.17506677714909       2.358011794770129E-003
   270.270270270270        2.17520668776564       2.425083953042864E-003
   263.157894736842        2.17535052308142       2.492286957655674E-003
   256.410256410256        2.17549829061888       2.559624571112740E-003
   250.000000000000        2.17564999811470       2.627100574478780E-003
   243.902439024390        2.17580565352086       2.694718767930660E-003
   238.095238095238        2.17596526500582       2.762482971314184E-003
   232.558139534884        2.17612884095564       2.830397024706152E-003
   227.272727272727        2.17629638997523       2.898464788981926E-003
   222.222222222222        2.17646792088958       2.966690146388592E-003
   217.391304347826        2.17664344274499       3.035077001123952E-003
   212.765957446808        2.17682296481042       3.103629279921480E-003
   208.333333333333        2.17700649657881       3.172350932641429E-003
   204.081632653061        2.17719404776844       3.241245932868253E-003
   200.000000000000        2.17738562832439       3.310318278514541E-003
   196.078431372549        2.17758124841991       3.379571992431633E-003
   192.307692307692        2.17778091845796       3.449011123027112E-003
   188.679245283019        2.17798464907271       3.518639744889341E-003
   185.185185185185        2.17819245113109       3.588461959419265E-003
   181.818181818182        2.17840433573438       3.658481895469658E-003
   178.571428571429        2.17862031421986       3.728703709992002E-003
   175.438596491228        2.17884039816244       3.799131588691209E-003
   172.413793103448        2.17906459937641       3.869769746688434E-003
   169.491525423729        2.17929292991717       3.940622429192095E-003
   166.666666666667        2.17952540208298       4.011693912177384E-003
   163.934426229508        2.17976202841684       4.082988503074514E-003
   161.290322580645        2.18000282170835       4.154510541465792E-003
   158.730158730159        2.18024779499558       4.226264399791922E-003
   156.250000000000        2.18049696156705       4.298254484067598E-003
   153.846153846154        2.18075033496371       4.370485234606753E-003
   151.515151515152        2.18100792898100       4.442961126757627E-003
   149.253731343284        2.18126975767090       4.515686671647909E-003
   147.058823529412        2.18153583534405       4.588666416940225E-003
   144.927536231884        2.18180617657195       4.661904947598236E-003
   142.857142857143        2.18208079618916       4.735406886663509E-003
   140.845070422535        2.18235970929555       4.809176896043587E-003
   138.888888888889        2.18264293125860       4.883219677311353E-003
   136.986301369863        2.18293047771578       4.957539972516111E-003
   135.135135135135        2.18322236457695       5.032142565006563E-003
   133.333333333333        2.18351860802678       5.107032280266021E-003
   131.578947368421        2.18381922452728       5.182213986760109E-003
   129.870129870130        2.18412423082034       5.257692596797317E-003
   128.205128205128        2.18443364393035       5.333473067402617E-003
   126.582278481013        2.18474748116682       5.409560401204556E-003
   125.000000000000        2.18506576012712       5.485959647336065E-003
   123.456790123457        2.18538849869921       5.562675902349343E-003
   121.951219512195        2.18571571506450       5.639714311145153E-003
   120.481927710843        2.18604742770068       5.717080067916869E-003
   119.047619047619        2.18638365538466       5.794778417109580E-003
   117.647058823529        2.18672441719554       5.872814654394685E-003
   116.279069767442        2.18706973251769       5.951194127660274E-003
   114.942528735632        2.18741962104381       6.029922238017693E-003
   113.636363636364        2.18777410277813       6.109004440824664E-003
   112.359550561798        2.18813319803958       6.188446246725387E-003
   111.111111111111        2.18849692746511       6.268253222707951E-003
   109.890109890110        2.18886531201305       6.348430993179526E-003
   108.695652173913        2.18923837296648       6.428985241059719E-003
   107.526881720430        2.18961613193672       6.509921708892525E-003
   106.382978723404        2.18999861086691       6.591246199977334E-003
   105.263157894737        2.19038583203557       6.672964579519371E-003
   104.166666666667        2.19077781806028       6.755082775800128E-003
   103.092783505155        2.19117459190147       6.837606781368193E-003
   102.040816326531        2.19157617686620       6.920542654250905E-003
