Tholins - temp_cond~90, molecular_weight~50.0
Wav (microns)	n	k
0.0099	0.9550	0.00762684
0.0130	0.9550	0.01624527
0.0164	0.9220	0.02794337
0.1036	1.6596	0.5666586
0.1161	1.7146	0.40820828
0.1367	1.7091	0.32446063
0.1532	1.6651	0.26218772
0.1833	1.6431	0.23384234
0.2	1.6805	0.0197
0.205	1.6671	0.0202
0.21	1.66	0.0207
0.215	1.6537	0.0212
0.22	1.6515	0.0217
0.225	1.6463	0.0222
0.23	1.6436	0.0227
0.235	1.6411	0.0232
0.24	1.638	0.0238
0.245	1.6354	0.0243
0.25	1.6329	0.0248
0.255	1.6306	0.0253
0.26	1.6284	0.0258
0.265	1.6265	0.0263
0.27	1.6246	0.068
0.275	1.6229	0.073
0.28	1.6211	0.0278
0.285	1.6196	0.0281
0.29	1.618	0.0285
0.295	1.6165	0.0287
0.3	1.615	0.0287
0.305	1.6137	0.0286
0.31	1.6137	0.0283
0.315	1.6123	0.0278
0.32	1.6111	0.0271
0.325	1.61	0.0262
0.33	1.609	0.0253
0.335	1.608	0.0242
0.34	1.6072	0.0231
0.345	1.6064	0.022
0.35	1.6056	0.0208
0.355	1.6048	0.0197
0.36	1.604	0.0186
0.365	1.6032	0.0175
0.37	1.6024	0.0165
0.375	1.6015	0.0155
0.38	1.6006	0.0146
0.385	1.5996	0.0137
0.39	1.5986	0.0128
0.395	1.5975	0.012
0.4	1.5964	0.0113
0.405	1.5952	0.0106
0.41	1.5939	0.0099
0.415	1.5926	0.0093
0.42	1.5912	0.0087
0.425	1.5898	0.0082
0.43	1.5884	0.0077
0.435	1.5869	0.0072
0.44	1.5854	0.0068
0.445	1.5839	0.0064
0.45	1.5825	0.006
0.455	1.5811	0.0056
0.46	1.5798	0.0053
0.465	1.5784	0.005
0.47	1.5771	0.0047
0.475	1.5758	0.0045
0.48	1.5746	0.0042
0.485	1.5734	0.004
0.49	1.5726	0.0038
0.495	1.5719	0.0036
0.5	1.5716	0.0034
0.505	1.5714	0.0032
0.51	1.5711	0.0031
0.515	1.5708	0.0029
0.52	1.5704	0.0028
0.525	1.5699	0.0026
0.53	1.5693	0.0025
0.535	1.5692	0.0024
0.54	1.5691	0.0023
0.545	1.5688	0.0021
0.55	1.5685	0.002
0.555	1.5681	0.002
0.56	1.5677	0.0019
0.565	1.5673	0.0018
0.57	1.5669	0.0017
0.575	1.5664	0.0016
0.58	1.566	0.0016
0.585	1.5655	0.0015
0.59	1.5653	0.0014
0.595	1.565	0.0014
0.6	1.5648	0.0013
0.605	1.5644	0.0013
0.61	1.5639	0.0012
0.615	1.5629	0.0012
0.62	1.5613	0.0011
0.625	1.56	0.0011
0.63	1.5592	0.0011
0.635	1.5584	0.001
0.64	1.5578	0.001
0.645	1.5571	0.001
0.65	1.5566	0.0009
0.655	1.5561	0.0009
0.66	1.5553	0.0009
0.665	1.5543	0.0009
0.67	1.5533	0.0008
0.675	1.5527	0.0008
0.68	1.552	0.0008
0.685	1.5509	0.0008
0.69	1.5504	0.0007
0.695	1.5497	0.0007
0.7	1.5497	0.0007
0.705	1.5493	0.0007
0.71	1.5487	0.0007
0.715	1.5482	0.0007
0.72	1.5475	0.0007
0.725	1.547	0.0006
0.73	1.5464	0.0006
0.735	1.5449	0.0006
0.74	1.5443	0.0006
0.745	1.5438	0.0006
0.75	1.5432	0.0006
0.755	1.5429	0.0006
0.76	1.5424	0.0006
0.765	1.542	0.0006
0.77	1.5424	0.0006
0.775	1.542	0.0006
0.78	1.5414	0.0006
0.785	1.541	0.0006
0.79	1.5405	0.0006
0.795	1.5402	0.0006
0.8	1.5397	0.0006
0.805	1.5394	0.0006
0.81	1.5389	0.0006
0.815	1.5387	0.0006
0.82	1.5383	0.0005
0.825	1.538	0.0005
0.83	1.5377	0.0005
0.835	1.5374	0.0005
0.84	1.5371	0.0005
0.845	1.5368	0.0005
0.85	1.5364	0.0005
0.855	1.5362	0.0005
0.86	1.5358	0.0004
0.865	1.5355	0.0004
0.87	1.5352	0.0004
0.875	1.5349	0.0004
0.88	1.5346	0.0004
0.885	1.5343	0.0004
0.89	1.534	0.0004
0.895	1.5338	0.0004
0.9	1.5336	0.0004
0.905	1.5334	0.0004
0.91	1.5331	0.0004
0.915	1.533	0.0004
0.92	1.5327	0.0004
0.925	1.5325	0.0003
0.93	1.5323	0.0003
0.935	1.5322	0.0003
0.94	1.532	0.0003
0.945	1.5318	0.0003
0.95	1.5317	0.0003
0.955	1.5316	0.0003
0.96	1.5314	0.0003
0.965	1.5314	0.0003
0.97	1.5313	0.0003
0.975	1.5313	0.0003
0.98	1.5312	0.0003
0.985	1.5312	0.0003
0.99	1.5311	0.0003
0.995	1.5311	0.0003
1	1.531	0.0003
1.1750	1.6431192	6.92E-04
1.4761	1.6431192	3.90E-04
1.7950	1.6431192	4.23E-04
2.3297	1.6321101	8.31E-04
2.8328	1.6045872	0.04345564
3.2803	1.593578	0.04719294
3.7371	1.6486238	0.01677978
4.3985	1.6376147	0.01763588
4.8503	1.6155963	0.00914781
5.7088	1.566055	0.15669356
6.1934	1.5055046	0.2522795
6.8295	1.5495412	0.2038507
7.0558	1.6321101	0.14209288
7.7805	1.6926606	0.11480543
8.8639	1.6981652	0.09904956
10.778	1.6706423	0.07876505
13.540	1.6376147	0.16500826
15.425	1.6706423	0.19451202
18.757	1.7256881	0.20781045
22.440	1.7862386	0.17642821
28.190	1.8082569	0.14985442
41.009	1.8027523	0.15752184
50.685	1.8357798	0.1739491
71.367	1.8743119	0.21559298
105.52	1.9623853	0.21224917
132.566	2.0174313	0.19561258
156.029	2.0339448	0.16885263
199.233	2.0669725	0.16084924
267.147	2.100000	0.14116935
382.339	2.127523	0.10694309
556.189	2.1440368	0.07582352
710.199	2.166055	0.04272234
1000.00	2.166055	0.00443622
