# Optical Properties of organic hazes made under water-rich (1000x solar), 300 K exoplanet conditions
# Citation: He, C., Radke, M.J., Moran, S.E., Hörst, S.M., Lewis, N.K., Moses, J.I., Batalha, N.E., Kempton, E.M.-R., Marley, M.S., Morley, C.V., Valenti, J.A., Vuitton, V. Optical Properties of Organic Haze Analogues in Water-rich Exoplanet Atmospheres Observable with JWST, Nature Astronomy, resubmitted

#index wavelength(microns) n	k
1 4.00008000e-01 1.80545740e+00 1.20739800e-03
2 4.00015700e-01 1.80542980e+00 1.20742100e-03
3 4.00023400e-01 1.80536950e+00 1.20744400e-03
4 4.00031200e-01 1.80529320e+00 1.20202200e-03
5 4.00038900e-01 1.80522740e+00 1.20204400e-03
6 4.00046600e-01 1.80519410e+00 1.20674600e-03
7 4.00054300e-01 1.80519550e+00 1.21682800e-03
8 4.00062000e-01 1.80521420e+00 1.22834700e-03
9 4.00069700e-01 1.80522790e+00 1.23792300e-03
10 4.00077500e-01 1.80522190e+00 1.24720500e-03
11 4.00085200e-01 1.80519340e+00 1.25107300e-03
12 4.00092900e-01 1.80515150e+00 1.25497600e-03
13 4.00100600e-01 1.80510160e+00 1.25950000e-03
14 4.00108300e-01 1.80504600e+00 1.26458900e-03
15 4.00116100e-01 1.80498540e+00 1.26862500e-03
16 4.00123800e-01 1.80491960e+00 1.27078500e-03
17 4.00131500e-01 1.80484940e+00 1.27120500e-03
18 4.00139200e-01 1.80477530e+00 1.26970400e-03
19 4.00146900e-01 1.80469960e+00 1.26665400e-03
20 4.00154600e-01 1.80462640e+00 1.26199600e-03
21 4.00162400e-01 1.80456690e+00 1.25689400e-03
22 4.00170100e-01 1.80453310e+00 1.25229100e-03
23 4.00177800e-01 1.80453420e+00 1.24994600e-03
24 4.00185500e-01 1.80456540e+00 1.25031400e-03
25 4.00193300e-01 1.80460820e+00 1.25266600e-03
26 4.00201000e-01 1.80463290e+00 1.25458400e-03
27 4.00208700e-01 1.80461140e+00 1.25552700e-03
28 4.00216400e-01 1.80453670e+00 1.25514100e-03
29 4.00224100e-01 1.80442280e+00 1.25343500e-03
30 4.00231900e-01 1.80429890e+00 1.25126300e-03
31 4.00239600e-01 1.80419550e+00 1.24762900e-03
32 4.00247300e-01 1.80413800e+00 1.24178200e-03
33 4.00255000e-01 1.80413470e+00 1.23508100e-03
34 4.00262800e-01 1.80417040e+00 1.23010900e-03
35 4.00270500e-01 1.80421080e+00 1.22921800e-03
36 4.00278200e-01 1.80421730e+00 1.23303300e-03
37 4.00285900e-01 1.80417150e+00 1.24000200e-03
38 4.00293700e-01 1.80408210e+00 1.24700000e-03
39 4.00301400e-01 1.80397770e+00 1.25175900e-03
40 4.00309100e-01 1.80388440e+00 1.25446300e-03
41 4.00316800e-01 1.80381520e+00 1.25617000e-03
42 4.00324600e-01 1.80376400e+00 1.25868200e-03
43 4.00332300e-01 1.80371930e+00 1.26331200e-03
44 4.00340000e-01 1.80367890e+00 1.26973600e-03
45 4.00347700e-01 1.80365020e+00 1.27611400e-03
46 4.00355500e-01 1.80364300e+00 1.28058800e-03
47 4.00363200e-01 1.80365490e+00 1.28263400e-03
48 4.00370900e-01 1.80366890e+00 1.28254000e-03
49 4.00378700e-01 1.80365720e+00 1.28298800e-03
50 4.00386400e-01 1.80360480e+00 1.28450800e-03
51 4.00394100e-01 1.80351990e+00 1.28758000e-03
52 4.00401800e-01 1.80342780e+00 1.29007800e-03
53 4.00409600e-01 1.80335510e+00 1.29016800e-03
54 4.00417300e-01 1.80331600e+00 1.28607200e-03
55 4.00425000e-01 1.80330580e+00 1.27839000e-03
56 4.00432800e-01 1.80330910e+00 1.26817900e-03
