KCl - temp_cond=740, molecular_weight=74.55
Wav (microns)	n	k
0.02883	0.96	3.00E-02
0.02952	0.955	2.50E-02
0.03024	0.945	2.00E-02
0.03099	0.925	1.80E-02
0.03179	0.091	2.00E-02
0.03263	0.89	3.00E-02
0.03351	0.87	5.00E-02
0.03397	0.845	7.04E-02
0.03444	0.86	8.00E-02
0.03493	0.83	9.16E-02
0.03542	0.87	1.15E-01
0.03594	0.851	1.05E-01
0.03646	0.89	1.20E-01
0.03701	0.854	7.82E-02
0.03746	0.821	6.77E-02
0.03792	0.8	9.24E-02
0.03839	0.797	1.11E-01
0.03887	0.795	1.21E-01
0.03936	0.797	1.31E-01
0.03987	0.779	1.34E-01
0.04039	0.756	1.34E-01
0.04092	0.743	1.34E-01
0.04147	0.73	1.45E-01
0.04203	0.729	1.75E-01
0.04261	0.743	2.07E-01
0.0429	0.785	2.34E-01
0.0432	0.805	2.65E-01
0.0435	0.816	2.75E-01
0.04381	0.814	2.61E-01
0.04412	0.789	2.45E-01
0.04444	0.775	2.28E-01
0.04509	0.755	2.30E-01
0.04575	0.745	2.41E-01
0.04644	0.75	2.63E-01
0.04714	0.779	3.02E-01
0.0475	0.805	3.35E-01
0.04787	0.824	3.59E-01
0.04824	0.836	3.62E-01
0.04862	0.851	3.58E-01
0.04901	0.849	3.57E-01
0.0494	0.851	3.46E-01
0.0502	0.849	3.17E-01
0.05102	0.813	0.328
0.05188	0.806	3.63E-01
0.05276	0.819	3.88E-01
0.05367	0.834	4.13E-01
0.05414	0.849	4.18E-01
0.05462	0.86	4.20E-01
0.0551	0.868	4.20E-01
0.0556	0.872	4.18E-01
0.05661	0.814	4.16E-01
0.05714	0.79	4.88E-01
0.05767	0.82	5.69E-01
0.05821	0.918	6.12E-01
0.05932	1.01	5.87E-01
0.0599	1.06	5.30E-01
0.06048	1.07	4.49E-01
0.06108	1.02	3.55E-01
0.06168	0.926	4.11E-01
0.0623	0.982	5.84E-01
0.06294	1	4.97E-01
0.06358	1.01	5.33E-01
0.06491	1.09	5.25E-01
0.0663	1.17	4.89E-01
0.06775	1.15	3.87E-01
0.06927	1.11	3.67E-01
0.07005	1.07	3.82E-01
0.07085	1.07	4.11E-01
0.07167	1.09	4.28E-01
0.07257	1.13	4.20E-01
0.07336	1.14	3.76E-01
0.07424	1.13	3.57E-01
0.07606	1.09	3.22E-01
0.07798	1.05	3.17E-01
0.07999	1.01	3.28E-01
0.08211	0.965	3.44E-01
0.08434	0.931	3.67E-01
0.0867	0.883	4.15E-01
0.0892	0.791	4.41E-01
0.09184	0.69	7.31E-01
0.09465	0.841	9.50E-01
0.09611	0.914	1.04E+00
0.09763	1.04	1.22E+00
0.09919	1.34	1.29E+00
0.1008	1.57	1.12E+00
0.1025	1.67	9.59E-01
0.1042	1.74	7.67E-01
0.106	1.73	6.40E-01
0.1069	1.67	5.80E-01
0.1078	1.66	5.30E-01
0.1088	1.65	4.90E-01
0.1097	1.63	4.50E-01
0.1107	1.6	4.10E-01
0.1117	1.57	3.80E-01
0.1127	1.54	3.50E-01
0.1137	1.5	3.52E-01
0.1148	1.47	3.10E-01
0.1159	1.42	3.15E-01
0.117	1.38	3.60E-01
0.1175	1.36	3.80E-01
0.1181	1.37	3.85E-01
0.1192	1.395	3.80E-01
0.1204	1.35	3.70E-01
0.1216	1.3	3.50E-01
0.1228	1.24	3.55E-01
0.124	1.16	3.80E-01
0.1252	1.05	4.10E-01
0.1265	0.87	5.80E-01
0.1278	0.8	9.00E-01
0.1291	0.9	1.27E+00
0.1305	1.38	1.50E+00
0.1319	1.81	1.38E+00
0.1333	2.04	1.13E+00
0.1348	2.18	8.50E-01
0.1362	2.12	6.40E-01
0.1378	1.66	5.00E-01
0.1393	1.9	4.30E-01
0.1409	1.85	4.00E-01
0.1425	1.81	3.90E-01
0.1442	1.79	3.70E-01
0.1459	1.75	3.45E-01
0.1476	1.73	3.40E-01
0.1494	1.68	2.65E-01
0.1512	1.54	2.45E-01
0.1531	1.36	2.50E-01
0.155	1.15	4.60E-01
0.1569	1.13	9.00E-01
0.1589	1.3	1.36E+00
0.161	1.92	1.64E+00
0.1621	2.63	1.60E+00
0.1631	2.63	1.34E+00
0.1642	2.92	1.10E+00
0.1653	3	5.10E-02
0.1664	2.8	2.00E-02
0.1675	2.61	6.00E-02
0.1698	2.34	3.11E-03
0.1722	2.19	1.78E-04
0.17846	2.08	7.69E-06
0.1771	2	8.46E-07
0.1797	1.94	2.29E-07
0.18	1.89	2.29E-07
0.182	1.86	2.29E-07
0.1823	1.89	1.45E-07
0.184	1.83	1.45E-07
0.185	1.85	1.45E-07
0.186	1.82	1.45E-07
0.1879	1.79	1.45E-07
0.1888	1.78	1.45E-07
0.19	1.8	1.45E-07
0.1907	1.78	1.45E-07
0.1937	1.71	1.45E-07
0.2	1.67	1.45E-07
0.21	1.64	1.45E-07
0.22	1.62	1.45E-07
0.23	1.6	1.45E-07
0.24	1.58	1.45E-07
0.25	1.577	1.45E-07
0.26	1.56	1.45E-07
0.27	1.559	1.45E-07
0.28	1.551	1.45E-07
0.29	1.545	1.45E-07
0.3	1.54	1.45E-07
0.31	1.535	1.45E-07
0.32	1.53	1.45E-07
0.33	1.52	1.45E-07
0.34	1.523	1.45E-07
0.35	1.525	5.10E-10
0.36	1.52	5.10E-10
0.37	1.5217	5.10E-10
0.38	1.515	5.10E-10
0.39	1.512	5.10E-10
0.4	1.5	5.10E-10
0.42	1.5	5.10E-10
0.44	1.503	5.10E-10
0.47	1.501	7.60E-11
0.48	1.5011	7.60E-11
0.5	1.498	7.60E-11
0.52	1.496	7.60E-11
0.54	1.495	7.60E-11
0.56	1.49	1.27E-10
0.58	1.49	1.27E-10
0.6	1.48	1.27E-10
0.62	1.488	1.27E-10
0.64	1.48	1.27E-10
0.66	1.48	1.27E-10
0.68	1.486	1.27E-10
0.7	1.4855	1.27E-10
0.72	1.484	1.27E-10
0.74	1.484	1.27E-10
0.76	1.483	1.27E-10
0.78	1.4833	1.27E-10
0.8	1.482	1.27E-10
0.82	1.482	1.27E-10
0.84	1.482	1.27E-10
0.86	1.482	1.27E-10
0.88	1.48	1.27E-10
0.9	1.48	1.27E-10
0.92	1.48	1.27E-10
0.94	1.48	1.27E-10
0.96	1.48	1.27E-10
0.98	1.48	1.27E-10
1	1.479	1.27E-10
1.1	1.4788	1.27E-10
