MgSiO4 - temp_cond=1354, molecular_weight=140.63
Wav (microns)	n	k
0.21028225	1.6344507	0.29503652
0.2652669	1.6961114	0.26309195
0.33461684	1.7633326	0.21829845
0.3795226	1.7802826	0.1687374
0.45631936	1.7695545	0.1274077
0.58728933	1.731169	0.08171456
0.7856524	1.7095474	0.057632282
1.0713998	1.7157693	0.060517274
1.4607071	1.7609141	0.05810451
1.8254007	1.7780708	0.033892352
2.1946933	1.7729032	0.024989508
2.8240914	1.7623198	0.011804887
3.3955493	1.7515917	0.010269759
4.2443843	1.7298254	0.0087304
5.2037206	1.7024573	0.010327388
6.320158	1.6305852	0.009196333
7.3849363	1.5419492	0.010860808
8.222854	1.4142867	0.01661521
8.722909	1.2809606	0.117437296
8.987143	1.1642537	0.21165766
9.443396	1.0031047	0.37259316
9.447480	0.9363797	0.64040816
9.907802	1.0754936	0.95624626
10.571489	1.542714	0.9571385
11.515414	1.8098004	0.6889714
11.958684	1.965575	0.40108126
13.294931	2.0770109	0.25066665
14.798613	1.9993923	0.1936666
15.543175	1.9049684	0.2285857
16.329317	1.7716216	0.45283198
17.65451	1.6995014	0.85579747
18.883345	1.788613	1.1101323
22.824194	2.4618378	1.0864466
27.13192	2.7124288	0.8607001
35.197132	2.9465249	0.7491224
51.82098	3.0974832	0.5796544
64.13428	3.1146193	0.39024252
84.12445	3.1374397	0.33163214
107.17836	3.1657586	0.21796787
177.44116	3.1668334	0.1771635
230.51926	3.1785123	0.11923062
290.91077	3.1790085	0.09022649
360.07364	3.1794631	0.0714955
445.67972	3.179918	0.059385095
