MgAl2O4 - temp_cond=1397, molecular_weight=142.26
Wav (microns)	n	k
1.6910685	2.1333334	1.04E-04
2.1868277	2.0666666	2.21E-04
3.0580838	1.9333333	4.67E-04
3.6980753	1.9333333	9.86E-04
5.0008874	2.000000	0.002345429
6.5396566	1.9333333	0.006530719
9.043473	1.600000	0.035474353
10.936079	1.200000	0.0692382
12.093502	0.800000	0.23421581
14.142136	0.8666667	0.4568724
14.788801	1.800000	0.9645402
15.293133	2.8666666	2.118278
16.537807	1.800000	0.8256225
18.28809	1.3333334	1.9614369
18.911755	1.8666667	3.1456923
20.223616	4.133333	1.9637195
21.148363	5.6666665	0.65378845
22.615372	4.5333333	0.2449212
25.574265	3.6666667	0.10332554
31.981073	3.0666666	0.349612
33.07170	3.4666667	0.15322429
39.548355	3.2666667	0.06458745
54.082188	2.9333334	0.022430232
73.13505	2.9333334	0.016416749
102.27286	2.9333334	0.010276399
165.38785	2.9333334	0.007237524
267.4526	3.000000	0.004190155
