H2O - temp_cond=274, molecular_weight=18.015
Wav (microns)	n	k
0.2	1.396	1.10E-07
0.225	1.373	4.90E-08
0.25	1.362	3.35E-08
0.275	1.354	2.35E-08
0.3	1.349	1.60E-08
0.325	1.346	1.08E-08
0.35	1.343	6.50E-09
0.375	1.341	3.50E-09
0.4	1.339	1.86E-09
0.425	1.338	1.30E-09
0.45	1.337	1.02E-09
0.475	1.336	9.35E-10
0.5	1.335	1.00E-09
0.525	1.334	1.32E-09
0.55	1.333	1.96E-09
0.575	1.333	3.60E-09
0.6	1.332	1.09E-08
0.625	1.332	1.39E-08
0.65	1.331	1.64E-08
0.675	1.331	2.23E-08
0.7	1.331	3.35E-08
0.725	1.33	9.15E-08
0.75	1.33	1.56E-07
0.775	1.33	1.48E-07
0.8	1.33	1.25E-07
0.825	1.329	1.82E-07
0.85	1.329	2.93E-07
0.875	1.329	3.91E-07
0.9	1.328	4.86E-07
0.925	1.328	1.06E-06
0.95	1.327	2.93E-06
0.975	1.327	3.48E-06
1	1.327	2.89E-06
1.2	1.324	9.89E-06
1.4	1.321	1.38E-04
1.6	1.317	8.55E-05
1.8	1.312	1.15E-04
2	1.306	1.10E-03
2.2	1.296	2.89E-04
2.4	1.279	9.56E-04
2.6	1.242	3.17E-03
2.65	1.219	6.70E-03
2.7	1.188	1.90E-02
2.75	1.157	5.90E-02
2.8	1.142	1.15E-01
2.85	1.149	1.85E-01
2.9	1.201	2.68E-01
2.95	1.292	2.98E-01
3	1.371	2.72E-01
3.1	1.426	2.40E-01
3.15	1.467	1.92E-01
3.2	1.483	1.35E-01
3.25	1.467	9.24E-02
3.3	1.45	6.10E-02
3.35	1.432	3.68E-02
3.4	1.42	2.61E-02
3.45	1.41	1.95E-02
3.5	1.4	1.32E-02
3.6	1.385	9.40E-03
3.7	1.374	5.15E-03
3.8	1.364	3.60E-03
3.9	1.357	3.40E-03
4	1.351	3.80E-03
4.1	1.346	4.60E-03
4.2	1.342	5.62E-03
4.3	1.338	6.88E-03
4.4	1.334	8.45E-03
4.5	1.332	1.03E-02
4.6	1.33	1.34E-02
4.7	1.33	1.47E-02
4.8	1.33	1.57E-02
4.9	1.328	1.50E-02
5	1.325	1.24E-02
5.1	1.322	1.11E-02
5.2	1.317	1.01E-02
5.3	1.312	9.80E-03
5.4	1.305	1.03E-02
5.5	1.298	1.16E-02
5.6	1.289	1.42E-02
5.7	1.277	2.03E-02
5.8	1.2262	3.30E-02
5.9	1.248	6.22E-02
6	1.265	1.07E-01
6.1	1.319	1.31E-01
6.2	1.363	5.50E-02
6.3	1.357	5.70E-02
6.4	1.347	4.49E-02
6.5	1.339	3.92E-02
6.6	1.334	3.56E-02
6.7	1.329	3.37E-02
6.8	1.324	3.27E-02
6.9	1.321	3.22E-02
7	1.317	3.23E-02
7.1	1.314	3.20E-02
7.2	1.312	3.21E-02
7.3	1.309	3.22E-02
7.4	1.307	3.24E-02
7.5	1.304	3.26E-02
7.6	1.302	3.28E-02
7.7	1.299	3.31E-02
7.8	1.297	3.35E-02
7.9	1.294	3.39E-02
8	1.291	3.43E-02
8.2	1.286	3.51E-02
8.4	1.281	3.61E-02
8.6	1.275	3.72E-02
8.8	1.269	3.85E-02
9	1.262	3.99E-02
9.2	1.255	4.15E-02
9.4	1.247	4.33E-02
9.6	1.239	4.54E-02
9.8	1.229	4.79E-02
10	1.218	5.08E-02
10.5	1.185	6.62E-02
11	1.153	9.48E-02
11.5	1.126	1.42E-01
12	1.111	1.99E-01
12.5	1.123	2.59E-01
13	1.146	3.05E-01
13.5	1.177	3.43E-01
14	1.21	3.70E-01
14.25	1.241	3.88E-01
14.5	1.27	4.02E-01
15	1.297	4.14E-01
15.5	1.325	4.22E-01
16	1.351	4.28E-01
16.5	1.376	4.29E-01
17	1.401	4.29E-01
17.5	1.423	4.26E-01
18	1.443	4.26E-01
18.5	1.461	4.21E-01
19	1.476	4.14E-01
19.5	1.48	4.04E-01
20	1.48	3.93E-01
21	1.487	3.82E-01
22	1.5	3.73E-01
23	1.511	3.67E-01
24	1.521	3.61E-01
25	1.531	3.56E-01
26	1.539	3.50E-01
27	1.545	3.44E-01
28	1.549	3.38E-01
29	1.551	3.33E-01
30	1.551	3.28E-01
32	1.546	3.24E-01
34	1.536	3.29E-01
36	1.527	3.43E-01
38	1.522	3.61E-01
40	1.519	3.85E-01
42	1.527	4.09E-01
44	1.53	4.36E-01
46	1.541	4.88E-01
48	1.555	5.14E-01
50	1.587	5.87E-01
60	1.703	5.87E-01
70	1.821	5.76E-01
80	1.886	5.47E-01
90	1.924	5.36E-01
100	1.957	5.32E-01
110	1.966	5.31E-01
120	2.004	5.26E-01
130	2.036	5.14E-01
140	2.056	5.00E-01
150	2.069	4.95E-01
160	2.081	4.96E-01
170	2.094	4.97E-01
180	2.107	4.99E-01
190	2.119	5.01E-01
200	2.13	5.04E-01
