Nested Sampling Global Log-Evidence           :    0.433570758559845387E+03  +/-    0.196333378946357245E+00

Dim No.       Mean        Sigma
   1    0.130384498411408423E+01    0.231236096378851196E-02
   2    0.139050621178191341E+04    0.680140221231041835E+02
   3   -0.558232674151889796E+01    0.317084443080968614E+00
   4   -0.718511388435646303E+01    0.332260117110690090E+00
   5   -0.109996825957170383E+02    0.617579675955126084E+00
   6   -0.391659335995727309E+01    0.179510035705987031E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.130395397697811655E+01
   2    0.137894887949728718E+04
   3   -0.548314914532262510E+01
   4   -0.709938570338431507E+01
   5   -0.112935484815497951E+02
   6   -0.389275411241236391E+01

MAP Parameters
Dim No.        Parameter
   1    0.130395397697811655E+01
   2    0.137894887949728718E+04
   3   -0.548314914532262510E+01
   4   -0.709938570338431507E+01
   5   -0.112935484815497951E+02
   6   -0.389275411241236391E+01
