# Saturn Phosphorus Haze 
# From Noy et al 1981 and Saturn MRS Paper

2.500000000000000000e-01 1.820000000000000062e+00 4.510000000000000120e-02
2.999999999999999889e-01 1.820000000000000062e+00 3.719999999999999696e-02
4.000000000000000222e-01 1.820000000000000062e+00 2.419999999999999929e-02
5.000000000000000000e-01 1.820000000000000062e+00 1.789999999999999925e-02
5.999999999999999778e-01 1.820000000000000062e+00 9.900000000000000813e-03
2.000000000000000000e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.018018018018017834e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.036036036036036112e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.054054054054053946e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.072072072072072224e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.090090090090090058e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.108108108108107892e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.126126126126126170e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.144144144144144004e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.162162162162162282e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.180180180180180116e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.198198198198198394e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.216216216216216228e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.234234234234234062e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.252252252252252340e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.270270270270270174e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.288288288288288452e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.306306306306306286e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.324324324324324564e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.342342342342342398e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.360360360360360232e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.378378378378378510e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.396396396396396344e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.414414414414414622e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.432432432432432456e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.450450450450450290e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.468468468468468568e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.486486486486486402e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.504504504504504681e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.522522522522522515e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.540540540540540349e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.558558558558558627e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.576576576576576461e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.594594594594594739e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.612612612612612573e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.630630630630630407e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.648648648648648685e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.666666666666666519e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.684684684684684797e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.702702702702702631e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.720720720720720465e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.738738738738738743e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.756756756756757021e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.774774774774774855e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.792792792792792689e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.810810810810810967e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.828828828828828801e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.846846846846847079e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.864864864864864913e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.882882882882882747e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.900900900900901025e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.918918918918918859e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.936936936936937137e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.954954954954954971e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.972972972972972805e+00 1.820000000000000062e+00 5.000000000000000104e-03
2.990990990990991083e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.009009009009008917e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.027027027027027195e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.045045045045045029e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.063063063063062863e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.081081081081081141e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.099099099099099419e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.117117117117117253e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.135135135135135087e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.153153153153152921e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.171171171171171199e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.189189189189189477e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.207207207207207311e+00 1.820000000000000062e+00 5.000000000000000104e-03
3.225225225225225145e+00 1.820000000000000062e+00 5.000000000000000104e-03
