Fe2O3 - temp_cond=1566, molecular_weight=159.68
Wav (microns)	n	k
0.10130568	0.056168504	1.7973921
0.12467364	0.12637913	1.4884654
0.16160348	0.44934803	1.3199599
0.19631693	0.9127382	1.334002
0.25118864	0.996991	1.6850551
0.317255	0.9689067	1.993982
0.3363261	0.89869606	2.1765296
0.4059296	1.2637913	2.120361
0.43878677	1.0952859	2.2326982
0.4743035	0.8565697	2.878636
0.5093804	0.7301906	2.9348044
0.5837101	0.35105315	3.0892677
0.660265	0.23871616	2.8365095
1.0950568	0.11233701	2.6820462
1.950477	0.04212638	2.6258776
2.9160082	0.04212638	2.5837512
5.227690	0.04212638	2.4994986
6.350631	0.04212638	2.2888665
7.517204	0.04212638	1.9237713
8.670181	0.028084252	1.3480442
10.262841	0.028084252	0.40722167
13.389383	0.08425276	0.25275826
14.853575	0.2668004	0.46339017
15.443026	0.65997994	1.109328
16.477882	1.5727181	2.9769309
17.582087	2.4854565	0.89869606
18.882362	4.0300903	4.1564693
20.017437	1.9378134	6.5015044
21.083546	2.9348044	2.4012036
22.64277	6.2627883	0.75827485
23.389132	2.990973	0.81444335
25.612425	0.6880642	1.8395185
26.628832	0.9408225	4.535607
27.685574	1.6990973	12.60983
29.54082	4.6339016	7.9899697
33.63261	11.500502	6.0100303
34.516613	6.894684	5.6028085
36.119896	1.769308	7.3861585
38.791126	0.4774323	6.2066197
41.122974	0.35105315	5.673019
45.325024	0.16850552	5.307924
55.78005	0.07021063	4.998997
119.139656	0.028084252	4.788365
261.15683	0.028084252	4.732197
987.11145	0.000000	4.7041125
