TiO2 - temp_cond=1125, molecular_weight=79.86
Wav (microns)	n	k
30.46857099	0.017985612	8.728946
9.07574448	1.8660072	8.477632
6.880000311	3.2284172	8.117691
5.33199976	4.1187053	7.0665703
4.10153848	4.4829135	4.6886063
3.496393569	4.2670865	2.4485035
2.465664626	3.147482	1.1466044
2.165279258	2.5944245	0.5361549
1.85460856	2.1492805	0.22905268
1.455836154	2.1357913	0.2531917
1.384935045	2.378597	0.47151592
1.23182413	2.0964913	0.25882354
1.13228287	2.2192984	0.38921192
1.03792598	2.3245614	0.46725264
0.93413335	2.3684210	0.46725264
0.83034075	2.3333333	0.45382014
0.73265362	2.2368422	0.45382014
0.63690910	2.1578948	0.44020736
0.56614143	2.0701754	0.42641425
0.50267267	2.0438597	0.39972955
0.46902092	2.0438597	0.39906844
0.43787500	2.0438597	0.42491174
0.40910949	2.0526316	0.43738260
0.37742761	2.1140351	0.54072570
0.36513353	2.1754386	0.63177824
0.35139811	2.2456140	0.73605290
0.33763855	2.3508773	0.90568703
0.33066666	2.4385965	1.12772890
0.32304323	2.4385965	1.49341140
0.31576337	2.3596492	2.22504690
0.31137776	2.3070176	2.44705900
0.30214554	2.1315790	2.55133340
